Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,2521.79,2524.1,2470.1,2491.56,2491.56,1398400
2021-07-20,2510.55,2540.86,2487.01,2524.19,2524.19,1315600
2021-07-21,2522.67,2551.92,2520.47,2550.98,2550.98,1037300
2021-07-22,2556.88,2569.66,2549.98,2568.43,2568.43,715100
2021-07-23,2608.61,2667.98,2596.01,2660.3,2660.3,2075300
2021-07-26,2666.57,2684.74,2646.03,2680.7,2680.7,1528600
2021-07-27,2685.01,2687.98,2602.08,2638.0,2638.0,2735500
2021-07-28,2726.24,2765.94,2705.55,2721.88,2721.88,4756500
2021-07-29,2723.0,2733.22,2710.86,2715.55,2715.55,1585800
2021-07-30,2700.7,2706.09,2685.1,2694.53,2694.53,1278200
2021-08-02,2702.34,2706.73,2675.88,2697.09,2697.09,1081700
2021-08-03,2702.7,2714.64,2666.39,2712.6,2712.6,1038100
2021-08-04,2706.99,2712.99,2689.74,2702.51,2702.51,983800
2021-08-05,2713.61,2727.0,2696.92,2725.03,2725.03,893500
2021-08-06,2720.84,2729.45,2704.2,2714.77,2714.77,1023700
2021-08-09,2718.85,2743.68,2706.79,2738.26,2738.26,888000
2021-08-10,2746.84,2755.45,2727.29,2736.14,2736.14,970700
2021-08-11,2743.63,2753.65,2725.43,2725.58,2725.58,767600
2021-08-12,2719.51,2746.0,2708.51,2743.88,2743.88,825300
2021-08-13,2745.0,2757.13,2740.66,2754.55,2754.55,797000
2021-08-16,2750.5,2767.25,2705.98,2766.19,2766.19,1119200
2021-08-17,2755.0,2765.31,2721.64,2733.23,2733.23,1085800
2021-08-18,2730.0,2742.09,2706.43,2708.98,2708.98,962900
2021-08-19,2688.71,2727.05,2685.0,2713.6,2713.6,1089100
2021-08-20,2720.0,2751.08,2705.0,2748.59,2748.59,1558600
2021-08-23,2759.39,2817.49,2752.15,2800.83,2800.83,1422700
2021-08-24,2812.23,2841.6,2806.77,2825.23,2825.23,963400
2021-08-25,2832.5,2843.79,2827.52,2841.58,2841.58,792400
2021-08-26,2835.0,2848.35,2827.14,2828.81,2828.81,1030500
